Service,Case,Description,Policy Link,Policy_type,Policy_name
Zoho, A list of all cookies set by the website is provided,"Zoho - Cookie Policy
        
Zoho - Cookie Policy",Zoho - Cookie Policy,2,Cookie Policy
Yubico,Any liability on behalf of the service is only limited to the fees you paid as a user,"IN NO EVENT WILL YUBICO’S AND ITS AFFILIATES’, AND ITS AND THEIR SUPPLIERS’, DISTRIBUTORS’, RESELLERS’ AND EMPLOYEES’ TOTAL CUMULATIVE LIABILITY RELATING TO THIS AGREEMENT OR THE USE OF THE PRODUCT OR SERVICE EXCEED THE AMOUNT PAID FOR THE PRODUCT.
        
Yubico terms and conditions of sale and license",Yubico terms and conditions of sale and license,0,Terms of Service
Yubico,Only for your individual use,"The Limited Warranty extends only to the original purchaser of the Hardware and is non-transferrable.
        
Yubico terms and conditions of sale and license",Yubico terms and conditions of sale and license,0,Terms of Service
Yubico,"Other applicable rules, terms, conditions or guidelines","If you are a U.S.
resident that has acquired Products as a Consumer Purchaser, you and Yubico agree that any dispute, claim or controversy arising out of or relating to this Agreement or the breach, termination, enforcement, interpretation or validity thereof or the use of the Software (collectively, “Disputes”) will be settled by binding arbitration
        
Yubico terms and conditions of sale and license",Yubico terms and conditions of sale and license,0,Terms of Service
Yubico,"Other applicable rules, terms, conditions or guidelines","Without limiting the preceding sentence, you will also have the right to litigate any other Dispute if you provide Yubico with written notice of your desire to do so by email to legal@yubico.com within 30 days following the date you first purchase or obtain the Software (such notice, an “Arbitration Opt-out Notice”).
If you don’t provide Yubico with an Arbitration Opt-out Notice within the 30-day period, you will be deemed to have knowingly and intentionally waived your right to litigate any Dispute except as expressly set forth in clauses (i) and (ii) above.
        
Yubico terms and conditions of sale and license",Yubico terms and conditions of sale and license,0,Terms of Service
Yubico,The service does not guarantee that software errors will be corrected,"(d) or that all programming errors can be found in order to be corrected.
        
Yubico terms and conditions of sale and license",Yubico terms and conditions of sale and license,0,Terms of Service
Yubico,"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service","(b) use thereof shall be uninterrupted or error-free,
        
Yubico terms and conditions of sale and license",Yubico terms and conditions of sale and license,0,Terms of Service
Yubico,"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service","(c) the products or any equipment, system or network on which the Products are used will be free of vulnerability to intrusion or attack,
        
Yubico terms and conditions of sale and license",Yubico terms and conditions of sale and license,0,Terms of Service
Yubico,This service assumes no liability for any losses or damages resulting from any matter relating to the service,"IN NO EVENT WILL YUBICO, ITS AFFILIATES, AND ITS AND THEIR SUPPLIERS, DISTRIBUTORS, RESELLERS AND EMPLOYEES BE LIABLE FOR DAMAGES IN RESPECT OF LOST REVENUE, INCIDENTAL, PUNITIVE, EXEMPLARY, INDIRECT, SPECIAL, OR CONSEQUENTIAL DAMAGES, EVEN IF ANY OF THEM HAVE BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES INCLUDING, BUT NOT LIMITED TO, BUSINESS INTERRUPTION, LOST BUSINESS REVENUE, LOST PROFITS, FAILURE TO REALIZE EXPECTED SAVINGS, ECONOMIC LOSS, LOSS OF DATA, LOSS OF BUSINESS OPPORTUNITY OR ANY CLAIM AGAINST USER BY ANY OTHER PARTY.

        
Yubico terms and conditions of sale and license",Yubico terms and conditions of sale and license,0,Terms of Service
Yubico,This service does not guarantee that it or the products obtained through it meet your expectations or requirements,"Yubico does not warrant that (a) the products will meet your requirements
        
Yubico terms and conditions of sale and license",Yubico terms and conditions of sale and license,0,Terms of Service
